STAR version=2.7.9a
STAR compilation time,server,dir=2022-03-02T16:06:11+01:00 sb03-01:/tmp/eb-build/STAR/2.7.9a/GCC-11.2.0/STAR-2.7.9a/source
##### Command Line:
STAR --runThreadN 1 --runMode genomeGenerate --genomeDir SDR001_REF_index --genomeFastaFiles /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa --sjdbGTFfile /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf --sjdbOverhang 99 --genomeSAindexNbases 4
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    1     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     SDR001_REF_index     ~RE-DEFINED
genomeFastaFiles              /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa        ~RE-DEFINED
sjdbGTFfile                   /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf     ~RE-DEFINED
sjdbOverhang                  99     ~RE-DEFINED
genomeSAindexNbases           4     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 148  "Amplicon_CPNE1_rs2295355_AMPL587796_withHDR_chrom" chrStart: 38797312
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 149  "Amplicon_CPNE1_rs73905926_CPNE1_rs6121020_AMPL587795_withHDR_chrom" chrStart: 39059456
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 150  "Amplicon_EMC4_rs6495621_AMPL587790_withHDR_chrom" chrStart: 39321600
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 151  "Amplicon_EPB41L2_rs3903759_AMPL587789_withHDR_chrom" chrStart: 39583744
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 152  "Amplicon_GOT2_rs11558171_AMPL587820_withHDR_chrom" chrStart: 39845888
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 153  "Amplicon_GOT2_rs727484_AMPL587821_withHDR_chrom" chrStart: 40108032
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 154  "Amplicon_GULP1_rs6712056_AMPL587815_withHDR_chrom" chrStart: 40370176
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 155  "Amplicon_LTA4H_rs3834482_AMPL587865_withHDR_chrom" chrStart: 40632320
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 156  "Amplicon_MYH10_control_AMPL590826_withHDR_chrom" chrStart: 40894464
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 157  "Amplicon_PDLIM1_rs10218877_AMPL587864_withHDR_chrom" chrStart: 41156608
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 158  "Amplicon_PSME2_rs2236352_AMPL587866_withHDR_chrom" chrStart: 41418752
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 159  "Amplicon_ROR1_rs7517350_AMPL587855_withHDR_chrom" chrStart: 41680896
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 160  "Amplicon_RTN4_rs2044291_AMPL587813_withHDR_chrom" chrStart: 41943040
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 161  "Amplicon_RTN4_rs2968787_AMPL587814_withHDR_chrom" chrStart: 42205184
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 162  "Amplicon_SOX11_control_AMPL590824_withHDR_chrom" chrStart: 42467328
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 163  "Amplicon_SOX12_control_AMPL590827_withHDR_chrom" chrStart: 42729472
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 164  "Amplicon_SOX4_control_AMPL590825_withHDR_chrom" chrStart: 42991616
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 165  "Amplicon_SPINT2_rs17554832_AMPL587824_withHDR_chrom" chrStart: 43253760
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 166  "Amplicon_STAU1_rs2252259_AMPL587830_withHDR_chrom" chrStart: 43515904
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 167  "Amplicon_STAU1_rs3818066_AMPL587832_withHDR_chrom" chrStart: 43778048
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 168  "Amplicon_STAU1_rs7266044_AMPL587831_withHDR_chrom" chrStart: 44040192
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 169  "Amplicon_TSTD1_rs10908821_AMPL587856_withHDR_chrom" chrStart: 44302336
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 170  "Amplicon_UBE2E1_rs7651576_AMPL587787_withHDR_chrom" chrStart: 44564480
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 171  "Amplicon_YWHAB_rs2072726_AMPL587798_withHDR_chrom" chrStart: 44826624
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 172  "Amplicon_YWHAB_rs6031849_AMPL587797_withHDR_chrom" chrStart: 45088768
Chromosome sequence lengths: 
cDNA_ROR1_chrom	1026
cDNA_TSTD1_chrom	1021
cDNA_NME7_chrom	1024
cDNA_ATP1B1_chrom	1026
cDNA_PDLIM1_chrom	1021
cDNA_NANOG_chrom	1021
cDNA_LTA4H_chrom	1021
cDNA_KLF5_chrom	1025
cDNA_PSME1_chrom	1021
cDNA_EMC9_chrom	1021
cDNA_PSME2_chrom	1021
cDNA_ESRRB_chrom	1021
cDNA_KATNBL1_chrom	1024
cDNA_EMC4_chrom	1020
cDNA_GOT2_chrom	1021
cDNA_MYH10_chrom	1022
cDNA_STAT3_chrom	1021
cDNA_CNN2_chrom	1021
cDNA_TCF3_chrom	1021
cDNA_CARM1_chrom	1021
cDNA_SPINT2_chrom	1021
cDNA_ACTN4_chrom	1021
cDNA_SOX11_chrom	1022
cDNA_RTN4_chrom	1022
cDNA_GULP1_chrom	1027
cDNA_GBX2_chrom	1021
cDNA_SOX12_chrom	1021
cDNA_DNMT3B_chrom	1022
cDNA_ERGIC3_chrom	1021
cDNA_CPNE1_chrom	1021
cDNA_RBM12_chrom	1025
cDNA_ROMO1_chrom	1021
cDNA_RBM39_chrom	1022
cDNA_PHF20_chrom	1021
cDNA_YWHAB_chrom	1021
cDNA_STAU1_chrom	1021
cDNA_DDX27_chrom	1021
cDNA_COL18A1_chrom	1021
cDNA_ATF4_chrom	1021
cDNA_UBE2E1_chrom	1023
cDNA_SOX2_chrom	1022
cDNA_ANXA5_chrom	1022
cDNA_TUBB2B_chrom	1021
cDNA_SOX4_chrom	1021
cDNA_POU5F1_chrom	1021
cDNA_EPB41L2_chrom	1021
cDNA_AKAP7_chrom	1023
1_CROP_AIF1L_dCas9_chrom	518
2_CROP_ANXA5_dCas9_chrom	518
3_CROP_ATP1B1_dCas9_chrom	518
4_CROP_CARM1_dCas9_chrom	519
5_CROP_CNN2_dCas9_chrom	519
6_CROP_COL18A1_dCas9_chrom	519
7_CROP_CPNE1_dCas9_chrom	519
8_CROP_EMC4_dCas9_chrom	519
9_CROP_EPB41L2_dCas9_chrom	519
10_CROP_GOT2_dCas9_chrom	518
11_CROP_GULP1_dCas9_chrom	519
12_CROP_LTA4H_dCas9_chrom	518
13_CROP_PDLIM1_dCas9_chrom	518
14_CROP_PSME2_dCas9_chrom	518
15_CROP_ROR1_dCas9_chrom	518
16_CROP_RTN4_dCas9_chrom	519
17_CROP_SPINT2_dCas9_chrom	518
18_CROP_STAU1_dCas9_chrom	518
19_CROP_TSTD1_dCas9_chrom	519
20_CROP_UBE2E1_dCas9_chrom	519
21_CROP_YWHAB_dCas9_chrom	518
22_CROP_nC1_dCas9_chrom	518
23_CROP_nC2_dCas9_chrom	518
24_CROP_nC3_dCas9_chrom	518
25_CROP_nC4_dCas9_chrom	518
26_CROP_nC5_dCas9_chrom	518
27_CROP_nC6_dCas9_chrom	518
1_CROP_ANXA5_rs2306413_dCas9-pegRNA_chrom	519
2_CROP_ATP1B1_rs10800424_dCas9-pegRNA_chrom	519
3_CROP_CARM1_rs67987899_dCas9-pegRNA_chrom	519
4_CROP_CNN2_rs4807440_dCas9-pegRNA_chrom	518
5_CROP_COL18A1_rs78667666_dCas9-pegRNA_chrom	518
6_CROP_COL18A1_rs35205716_dCas9-pegRNA_chrom	519
7_CROP_CPNE1_rs2104417_dCas9-pegRNA_chrom	518
8_CROP_CPNE1_rs73905926_dCas9-pegRNA_chrom	519
9_CROP_CPNE1_rs6121020_dCas9-pegRNA_chrom	519
10_CROP_CPNE1_rs2295355_dCas9-pegRNA_chrom	519
11_CROP_EMC4_rs6495621_dCas9-pegRNA_chrom	518
12_CROP_EPB41L2_rs3903759_dCas9-pegRNA_chrom	519
13_CROP_GOT2_rs11558171_dCas9-pegRNA_chrom	519
14_CROP_GOT2_rs727484_dCas9-pegRNA_chrom	518
15_CROP_GULP1_rs6712056_dCas9-pegRNA_chrom	519
16_CROP_LTA4H_rs3834482_dCas9-pegRNA_chrom	518
17_CROP_PDLIM1_rs10218877_dCas9-pegRNA_chrom	519
18_CROP_PSME2_rs2236352_dCas9-pegRNA_chrom	518
19_CROP_ROR1_rs7517350_dCas9-pegRNA_chrom	519
20_CROP_RTN4_rs2968787_dCas9-pegRNA_chrom	519
21_CROP_RTN4_rs2044291_dCas9-pegRNA_chrom	518
22_CROP_SPINT2_rs17554832_dCas9-pegRNA_chrom	519
23_CROP_STAU1_rs7266044_dCas9-pegRNA_chrom	519
24_CROP_STAU1_rs2252259_dCas9-pegRNA_chrom	519
25_CROP_STAU1_rs3818066_dCas9-pegRNA_chrom	519
26_CROP_TSTD1_rs10908821_dCas9-pegRNA_chrom	519
27_CROP_UBE2E1_rs7651576_dCas9-pegRNA_chrom	519
28_CROP_YWHAB_rs6031849_dCas9-pegRNA_chrom	519
29_CROP_YWHAB_rs2072726_dCas9-pegRNA_chrom	519
30_CROP_ATF4_control_PE_chrom	519
31_CROP_SOX11_control_PE_chrom	519
32_CROP_SOX12_control_PE_chrom	518
33_CROP_MYH10_control_PE_chrom	519
34_CROP_SOX4_control_PE_chrom	519
Puro_GFP_chrom	2505
Amplicon_ATF4_control_AMPL590829_noHDR_chrom	240
Amplicon_ATP1B1_rs10800424_AMPL587857_noHDR_chrom	207
Amplicon_CARM1_rs67987899_AMPL587792_noHDR_chrom	235
Amplicon_CNN2_rs4807440_AMPL587791_noHDR_chrom	261
Amplicon_COL18A1_rs35205716_AMPL590828_noHDR_chrom	226
Amplicon_COL18A1_rs78667666_AMPL587799_noHDR_chrom	251
Amplicon_CPNE1_rs2104417_AMPL587794_noHDR_chrom	205
Amplicon_CPNE1_rs2295355_AMPL587796_noHDR_chrom	195
Amplicon_CPNE1_rs73905926_CPNE1_rs6121020_AMPL587795_noHDR_chrom	259
Amplicon_EMC4_rs6495621_AMPL587790_noHDR_chrom	226
Amplicon_EPB41L2_rs3903759_AMPL587789_noHDR_chrom	210
Amplicon_GOT2_rs11558171_AMPL587820_noHDR_chrom	206
Amplicon_GOT2_rs727484_AMPL587821_noHDR_chrom	235
Amplicon_GULP1_rs6712056_AMPL587815_noHDR_chrom	233
Amplicon_LTA4H_rs3834482_AMPL587865_noHDR_chrom	237
Amplicon_MYH10_control_AMPL590826_noHDR_chrom	206
Amplicon_PDLIM1_rs10218877_AMPL587864_noHDR_chrom	241
Amplicon_PSME2_rs2236352_AMPL587866_noHDR_chrom	220
Amplicon_ROR1_rs7517350_AMPL587855_noHDR_chrom	223
Amplicon_RTN4_rs2044291_AMPL587813_noHDR_chrom	220
Amplicon_RTN4_rs2968787_AMPL587814_noHDR_chrom	236
Amplicon_SOX11_control_AMPL590824_noHDR_chrom	209
Amplicon_SOX12_control_AMPL590827_noHDR_chrom	190
Amplicon_SOX4_control_AMPL590825_noHDR_chrom	216
Amplicon_SPINT2_rs17554832_AMPL587824_noHDR_chrom	267
Amplicon_STAU1_rs2252259_AMPL587830_noHDR_chrom	233
Amplicon_STAU1_rs3818066_AMPL587832_noHDR_chrom	252
Amplicon_STAU1_rs7266044_AMPL587831_noHDR_chrom	222
Amplicon_TSTD1_rs10908821_AMPL587856_noHDR_chrom	265
Amplicon_UBE2E1_rs7651576_AMPL587787_noHDR_chrom	258
Amplicon_YWHAB_rs2072726_AMPL587798_noHDR_chrom	212
Amplicon_YWHAB_rs6031849_AMPL587797_noHDR_chrom	574
Amplicon_ATF4_control_AMPL590829_withHDR_chrom	240
Amplicon_ATP1B1_rs10800424_AMPL587857_withHDR_chrom	207
Amplicon_CARM1_rs67987899_AMPL587792_withHDR_chrom	235
Amplicon_CNN2_rs4807440_AMPL587791_withHDR_chrom	261
Amplicon_COL18A1_rs35205716_AMPL590828_withHDR_chrom	226
Amplicon_COL18A1_rs78667666_AMPL587799_withHDR_chrom	250
Amplicon_CPNE1_rs2104417_AMPL587794_withHDR_chrom	205
Amplicon_CPNE1_rs2295355_AMPL587796_withHDR_chrom	195
Amplicon_CPNE1_rs73905926_CPNE1_rs6121020_AMPL587795_withHDR_chrom	259
Amplicon_EMC4_rs6495621_AMPL587790_withHDR_chrom	226
Amplicon_EPB41L2_rs3903759_AMPL587789_withHDR_chrom	210
Amplicon_GOT2_rs11558171_AMPL587820_withHDR_chrom	206
Amplicon_GOT2_rs727484_AMPL587821_withHDR_chrom	235
Amplicon_GULP1_rs6712056_AMPL587815_withHDR_chrom	233
Amplicon_LTA4H_rs3834482_AMPL587865_withHDR_chrom	240
Amplicon_MYH10_control_AMPL590826_withHDR_chrom	206
Amplicon_PDLIM1_rs10218877_AMPL587864_withHDR_chrom	241
Amplicon_PSME2_rs2236352_AMPL587866_withHDR_chrom	220
Amplicon_ROR1_rs7517350_AMPL587855_withHDR_chrom	223
Amplicon_RTN4_rs2044291_AMPL587813_withHDR_chrom	220
Amplicon_RTN4_rs2968787_AMPL587814_withHDR_chrom	236
Amplicon_SOX11_control_AMPL590824_withHDR_chrom	209
Amplicon_SOX12_control_AMPL590827_withHDR_chrom	190
Amplicon_SOX4_control_AMPL590825_withHDR_chrom	216
Amplicon_SPINT2_rs17554832_AMPL587824_withHDR_chrom	267
Amplicon_STAU1_rs2252259_AMPL587830_withHDR_chrom	233
Amplicon_STAU1_rs3818066_AMPL587832_withHDR_chrom	252
Amplicon_STAU1_rs7266044_AMPL587831_withHDR_chrom	222
Amplicon_TSTD1_rs10908821_AMPL587856_withHDR_chrom	265
Amplicon_UBE2E1_rs7651576_AMPL587787_withHDR_chrom	258
Amplicon_YWHAB_rs2072726_AMPL587798_withHDR_chrom	212
Amplicon_YWHAB_rs6031849_AMPL587797_withHDR_chrom	225
Genome sequence total length = 97158
Genome size with padding = 45350912
Feb 02 17:53:32 ..... processing annotations GTF
WARNING: while processing sjdbGTFfile=/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf: chromosome 'Amplicon_ANXA5_rs2306413_AMPL587788_noHDR_chrom' not found in Genome fasta files for line:
Amplicon_ANXA5_rs2306413_AMPL587788_noHDR_chrom	havana	exon	1	204	.	+	.	gene_id "Amplicon_ANXA5_rs2306413_AMPL587788_noHDR_gene"; transcript_id "Amplicon_ANXA5_rs2306413_AMPL587788_noHDR_transcript"; exon_number "1"; gene_name "Amplicon_ANXA5_rs2306413_AMPL587788_noHDR_gene"; gene_source "ensembl_havana"; gene_biotype "lincRNA"; transcript_name "Amplicon_ANXA5_rs2306413_AMPL587788_noHDR_transcript"; transcript_source "havana"; exon_id "Amplicon_ANXA5_rs2306413_AMPL587788_noHDR_exon";
WARNING: while processing sjdbGTFfile=/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf: chromosome 'Amplicon_ANXA5_rs2306413_AMPL587788_withHDR_chrom' not found in Genome fasta files for line:
Amplicon_ANXA5_rs2306413_AMPL587788_withHDR_chrom	havana	exon	1	204	.	+	.	gene_id "Amplicon_ANXA5_rs2306413_AMPL587788_withHDR_gene"; transcript_id "Amplicon_ANXA5_rs2306413_AMPL587788_withHDR_transcript"; exon_number "1"; gene_name "Amplicon_ANXA5_rs2306413_AMPL587788_withHDR_gene"; gene_source "ensembl_havana"; gene_biotype "lincRNA"; transcript_name "Amplicon_ANXA5_rs2306413_AMPL587788_withHDR_transcript"; transcript_source "havana"; exon_id "Amplicon_ANXA5_rs2306413_AMPL587788_withHDR_exon";
Processing pGe.sjdbGTFfile=/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf, found:
		173 transcripts
		173 exons (non-collapsed)
		0 collapsed junctions
Total junctions: 0
Feb 02 17:53:32 ..... finished GTF processing

Estimated genome size with padding and SJs: total=genome+SJ=244350912 = 45350912 + 199000000
GstrandBit=32
Number of SA indices: 193816
Feb 02 17:53:32 ... starting to sort Suffix Array. This may take a long time...
Number of chunks: 1;   chunks size limit: 18545578784 bytes
Feb 02 17:53:32 ... sorting Suffix Array chunks and saving them to disk...
Writing 1550528 bytes into SDR001_REF_index//SA_0 ; empty space on disk = 1370907213824 bytes ... done
Feb 02 17:53:33 ... loading chunks from disk, packing SA...
Feb 02 17:53:33 ... finished generating suffix array
Feb 02 17:53:33 ... generating Suffix Array index
Feb 02 17:53:33 ... completed Suffix Array index
Feb 02 17:53:33   Finished preparing junctions
Feb 02 17:53:33 ..... finished inserting junctions into genome
Feb 02 17:53:33 ... writing Genome to disk ...
Writing 45350912 bytes into SDR001_REF_index//Genome ; empty space on disk = 1370905116672 bytes ... done
SA size in bytes: 799494
Feb 02 17:53:33 ... writing Suffix Array to disk ...
Writing 799494 bytes into SDR001_REF_index//SA ; empty space on disk = 1370860027904 bytes ... done
Feb 02 17:53:33 ... writing SAindex to disk
Writing 8 bytes into SDR001_REF_index//SAindex ; empty space on disk = 1370858979328 bytes ... done
Writing 40 bytes into SDR001_REF_index//SAindex ; empty space on disk = 1370858979328 bytes ... done
Writing 1491 bytes into SDR001_REF_index//SAindex ; empty space on disk = 1370858979328 bytes ... done
Feb 02 17:53:33 ..... finished successfully
DONE: Genome generation, EXITING
